binNumber, occurence
-99, 0.0203235
-98, 0.0148858
-97, 0.012099
-96, 0.019168
-95, 0.0263051
-94, 0.0294997
-93, 0.028752
-92, 0.0297036
-91, 0.0300435
-90, 0.0232463
-89, 0.0206634
-88, 0.0211392
-87, 0.0179445
-86, 0.0224986
-85, 0.0220908
-84, 0.0205275
-83, 0.0163132
-82, 0.0116232
-81, 0.00965199
-80, 0.0103997
-79, 0.00870038
-78, 0.00944807
-77, 0.00944807
-76, 0.00856444
-75, 0.00910821
-74, 0.00924415
-73, 0.00931213
-72, 0.0076808
-71, 0.00897227
-70, 0.00693312
-69, 0.00679717
-68, 0.00836052
-67, 0.00659326
-66, 0.00611746
-65, 0.00618543
-64, 0.00543774
-63, 0.00428222
-62, 0.00441816
-61, 0.00502991
-60, 0.00509788
-59, 0.00523382
-58, 0.00469005
-57, 0.00543774
-56, 0.00428222
-55, 0.00394236
-54, 0.00469005
-53, 0.00509788
-52, 0.00462208
-51, 0.00462208
-50, 0.00394236
-49, 0.00428222
-48, 0.00475802
-47, 0.00435019
-46, 0.00475802
-45, 0.00523382
-44, 0.0040783
-43, 0.00394236
-42, 0.00421425
-41, 0.00380642
-40, 0.00462208
-39, 0.00591354
-38, 0.00448613
-37, 0.00496194
-36, 0.00509788
-35, 0.00339859
-34, 0.00462208
-33, 0.00469005
-32, 0.00557368
-31, 0.00428222
-30, 0.00435019
-29, 0.00441816
-28, 0.00550571
-27, 0.00557368
-26, 0.00543774
-25, 0.00469005
-24, 0.00502991
-23, 0.00462208
-22, 0.00462208
-21, 0.00482599
-20, 0.00428222
-19, 0.00428222
-18, 0.00496194
-17, 0.00598151
-16, 0.00550571
-15, 0.00604948
-14, 0.00591354
-13, 0.00530179
-12, 0.00428222
-11, 0.00401033
-10, 0.0036025
-9, 0.00482599
-8, 0.00367047
-7, 0.00428222
-6, 0.00373844
-5, 0.00333061
-4, 0.00346656
-3, 0.00271887
-2, 0.00489396
-1, 0.00421425
0, 0.00285481
1, 0.00224307
2, 0.00299076
3, 0.00271887
4, 0.00244698
5, 0.00244698
6, 0.00183524
7, 0.00190321
8, 0.00183524
9, 0.00210712
10, 0.00190321
11, 0.0026509
12, 0.00190321
13, 0.00203915
14, 0.00149538
15, 0.0026509
16, 0.00115552
17, 0.00210712
18, 0.0021751
19, 0.00169929
20, 0.00210712
21, 0.0021751
22, 0.00251495
23, 0.00203915
24, 0.00251495
25, 0.00203915
26, 0.00183524
27, 0.00169929
28, 0.0031267
29, 0.00210712
30, 0.00210712
31, 0.00251495
32, 0.00237901
33, 0.00271887
34, 0.00278684
35, 0.00271887
36, 0.00401033
37, 0.00394236
38, 0.00367047
39, 0.00353453
40, 0.00448613
41, 0.00441816
42, 0.00462208
43, 0.00367047
44, 0.00278684
45, 0.00319467
46, 0.00285481
47, 0.00339859
48, 0.0026509
49, 0.00326264
50, 0.00169929
51, 0.00210712
52, 0.00210712
53, 0.00176726
54, 0.00163132
55, 0.00122349
56, 0.00142741
57, 0.00169929
58, 0.00135943
59, 0.000951604
60, 0.00122349
61, 0.000883632
62, 0.000883632
63, 0.000679717
64, 0.000815661
65, 0.00135943
66, 0.000611746
67, 0.00108755
68, 0.000543774
69, 0.000951604
70, 0.000475802
71, 0.000815661
72, 0.000611746
73, 0.000815661
74, 0.000747689
75, 0.000815661
76, 0.000815661
77, 0.000951604
78, 0.000883632
79, 0.00101958
80, 0.000747689
81, 0.000339859
82, 0.000611746
83, 0.000543774
84, 0.00040783
85, 0.000747689
86, 0.000815661
87, 0.000883632
88, 0.000747689
89, 0.000951604
90, 0.000543774
91, 0.000543774
92, 0.00040783
93, 0.000475802
94, 0.000543774
95, 0.000339859
96, 0.000475802
97, 0.00040783
98, 0.000543774
99, 0.000203915
100, 6.79717e-05
